Age,Sex,Job,Housing,Duration,Purpose,Risk,installment,Other_credit,DTI,month.inc,emp.length,Checking.account,Saving.accounts,credit.amount
52,male,3,own,6,radio/TV,good,56.33333333,0,0.043123342,1306.33043,5,little,quite rich,338
31,male,4,rent,12,radio/TV,good,163.5833333,0,0.063670746,2569.207128,1,NA,little,1963
65,male,3,own,21,car,good,27.19047619,1,0.114275568,237.9377898,4,little,little,571
28,male,3,own,36,business,bad,265.8888889,0,0.367680897,723.1512198,6,NA,little,9572
NA,male,4,own,36,business,bad,123.75,1,0.743643643,166.4103515,2,moderate,little,4455
40,male,2,own,21,car,bad,78.42857143,1,0.627733719,124.9392363,0,little,NA,1647
50,male,3,own,24,furniture/equipment,good,157.375,0,0.037515587,4194.923051,5,NA,rich,3777
36,male,3,own,18,car,bad,49.11111111,1,0.452773219,108.4673497,6,moderate,little,884
31,male,3,own,15,radio/TV,good,90.66666667,0,0.033458488,2709.825612,5,NA,little,1360
74,female,4,free,9,car,bad,569.8888889,1,0.543814569,1047.947078,4,moderate,little,5129
68,male,1,free,16,car,good,73.4375,0,0.319530681,229.8292603,1,moderate,little,1175
20,male,3,own,12,radio/TV,bad,56.16666667,0,0.665460974,84.40264553,9,little,moderate,674
33,female,3,own,18,furniture/equipment,good,180.2222222,1,0.208694332,863.5702779,9,moderate,little,3244
54,male,4,own,24,business,bad,191.2916667,1,0.602347793,317.5767704,3,NA,rich,4591
34,male,2,free,48,business,bad,80.08333333,1,0.542786083,147.541243,3,moderate,moderate,3844
36,male,3,own,27,business,bad,145,1,0.769192575,188.50936,7,moderate,little,3915
29,male,3,rent,6,radio/TV,good,351.3333333,0,-0.028219318,-12450.10002,6,NA,little,2108
21,male,3,rent,45,radio/TV,bad,67.35555556,0,0.433823579,155.260246,8,moderate,moderate,3031
34,female,4,own,9,education,bad,166.7777778,1,0.568060205,293.5917288,1,moderate,little,1501
28,female,3,own,6,radio/TV,good,230.3333333,0,0.05767396,3993.714557,3,NA,little,1382
27,female,3,rent,12,furniture/equipment,bad,79.25,1,0.294590806,269.0172216,5,moderate,moderate,951
36,male,3,free,24,car,good,115,1,0.594188464,193.541287,7,moderate,NA,2760
40,male,4,own,18,furniture/equipment,bad,238.7222222,0,0.458676478,520.4588276,4,moderate,little,4297
52,male,3,own,9,education,good,104,0,0.061577092,1688.939769,5,NA,quite rich,936
27,male,2,own,12,car,good,97.33333333,0,0.017123534,5684.184755,1,little,little,1168
26,male,3,own,27,business,good,189.5185185,0,0.049914974,3796.82696,5,NA,little,5117
21,male,3,rent,12,education,bad,75.16666667,1,0.464232179,161.9161059,6,little,little,902
38,male,2,own,12,car,good,124.5833333,0,0.03535509,3523.773642,2,NA,little,1495
38,male,4,free,30,car,good,354.1,0,0.730368479,484.8237704,3,little,little,10623
43,male,3,own,12,furniture/equipment,good,161.25,0,0.043540109,3703.481786,6,NA,little,1935
26,male,3,own,12,domestic appliances,good,118.6666667,0,0.057825795,2052.1407,5,moderate,little,1424
21,male,2,own,24,business,good,273.6666667,0,0.045597257,6001.823003,2,little,little,6568
55,male,3,own,12,car,good,117.75,0,0.016693909,7053.470818,5,NA,rich,1413
33,male,3,own,9,radio/TV,good,341.5555556,0,0.040512239,8430.92274,7,NA,NA,3074
45,female,2,own,36,radio/TV,good,106.5277778,0,0.02275715,4681.06858,3,NA,NA,3835
50,male,3,own,27,business,bad,196.037037,1,0.582187277,336.7250451,10,little,little,5293
66,male,4,own,30,business,bad,63.6,1,0.672608684,94.55720914,2,rich,little,1908
51,male,3,own,36,radio/TV,good,92.83333333,0,0.04528793,2049.847123,5,NA,NA,3342
39,female,2,own,6,education,good,155.3333333,1,0.090236519,1721.402095,1,moderate,NA,932
31,male,3,own,18,business,good,172.4444444,0,0.042940031,4015.936651,7,little,little,3104
23,male,3,own,36,radio/TV,good,108.6944444,1,0.076447059,1421.826371,8,rich,little,3913
24,male,2,rent,24,furniture/equipment,good,125.875,1,0.079933992,1574.736808,3,little,little,3021
64,female,3,own,10,car,good,136.4,0,0.047970661,2843.404621,5,NA,little,1364
26,male,2,own,12,radio/TV,good,52.08333333,0,0.032152166,1619.901235,3,moderate,little,625
23,female,3,rent,12,education,good,100,1,0.273607553,365.4869861,7,little,NA,1200
30,male,3,own,12,radio/TV,good,58.91666667,0,0.039090423,1507.189297,9,NA,little,707
32,male,3,own,24,business,good,124.0833333,1,0.062386855,1988.933928,10,NA,NA,2978
30,male,3,own,15,car,good,310.4666667,0,0.037332608,8316.233005,6,NA,little,4657
27,male,3,own,36,repairs,good,72.58333333,1,0.156376131,464.1586457,8,NA,little,2613
27,male,3,own,48,radio/TV,bad,228.3541667,0,0.48146491,474.290362,4,moderate,rich,10961
53,male,4,free,12,furniture/equipment,bad,655.4166667,1,0.530006615,1236.619787,3,little,little,7865
22,male,3,own,9,radio/TV,bad,164.2222222,1,0.640557334,256.3739629,6,NA,little,1478
22,male,3,free,24,furniture/equipment,good,131.2083333,0,0.446663246,293.7522496,7,little,little,3149
26,male,3,own,36,radio/TV,bad,116.9444444,1,0.82270646,142.1460145,3,rich,little,4210
51,male,2,free,9,car,good,278.5555556,1,0.534330473,521.316993,2,NA,quite rich,2507
35,male,3,own,12,radio/TV,good,178.4166667,0,0.048232284,3699.112923,8,NA,moderate,2141
25,male,2,own,18,radio/TV,good,48.11111111,0,0.057349956,838.9040645,2,moderate,little,866
42,male,2,own,4,radio/TV,good,386,0,0.044795006,8617.032079,2,NA,little,1544
30,male,4,own,24,radio/TV,bad,75.95833333,1,0.71955699,105.562637,3,little,little,1823
23,male,1,own,6,car,bad,2425.833333,0,0.453318383,5351.279419,1,moderate,NA,14555
61,male,2,rent,21,business,bad,131.7619048,1,0.557333277,236.4149248,1,moderate,moderate,2767
35,female,3,own,12,radio/TV,good,107.5833333,0,0.063671269,1689.668439,5,NA,little,1291
39,male,3,own,30,radio/TV,good,84.06666667,0,0.052406559,1604.12492,7,little,little,2522
29,female,3,own,24,car,bad,38.125,1,0.719391861,52.9961514,7,little,NA,915
51,male,3,own,6,radio/TV,good,265.8333333,0,0.041935052,6339.167836,4,NA,little,1595
24,male,3,free,48,car,bad,95.9375,1,0.569633432,168.4197146,8,little,little,4605
27,female,3,own,12,business,good,98.75,0,0.059524564,1658.978971,6,NA,little,1185
35,female,2,own,12,education,good,287.25,0,0.03458412,8305.835044,3,NA,quite rich,3447
25,male,3,own,24,business,good,52.41666667,0,0.027179188,1928.558967,6,NA,little,1258
52,male,3,own,12,radio/TV,good,59.75,1,0.139055013,429.6860548,4,NA,little,717
35,male,3,rent,6,car,good,200.6666667,1,0.291681112,687.9659281,6,NA,moderate,1204
26,male,3,own,24,furniture/equipment,good,80.20833333,0,0.061022638,1314.40291,8,rich,little,1925
22,female,3,rent,18,radio/TV,bad,24.05555556,1,0.710433659,33.86038269,7,NA,little,433
39,female,2,own,6,car,good,111,1,0.180142648,616.1783517,1,little,rich,666
46,female,2,own,12,furniture/equipment,good,187.5833333,0,0.045925104,4084.548866,2,rich,little,2251
24,female,3,own,30,car,bad,NA,0,0.545760882,131.31514,7,moderate,little,2150
35,male,3,own,24,furniture/equipment,good,172.9583333,0,0.039587175,4369.049693,5,NA,moderate,4151
24,male,3,own,9,furniture/equipment,good,225.5555556,0,0.060496925,3728.380528,4,moderate,NA,2030
27,male,2,own,60,radio/TV,good,123.6333333,0,0.027551407,4487.369097,2,moderate,NA,7418
35,male,2,own,24,radio/TV,good,111.8333333,0,0.064584004,1731.594917,2,NA,little,2684
29,male,3,free,12,radio/TV,bad,179.0833333,1,0.544962304,328.6160015,7,little,little,2149
23,female,3,own,15,car,good,254.1333333,0,0.014087462,18039.68187,4,NA,moderate,3812
57,female,2,own,11,radio/TV,good,104.9090909,0,0.041705387,2515.480568,2,NA,moderate,1154
27,male,3,own,12,furniture/equipment,good,138.0833333,0,0.034392813,4014.889238,4,little,little,1657
55,female,3,own,24,radio/TV,good,66.79166667,0,0.045076133,1481.752362,6,little,little,1603
36,male,4,free,18,car,good,294.5555556,1,0.868823405,339.0281085,2,little,little,5302
57,female,2,free,12,education,good,229,0,0.440004027,520.4497817,3,NA,little,2748
32,male,2,own,10,car,good,123.1,0,0.080209985,1534.721639,1,NA,little,1231
37,male,3,own,15,radio/TV,bad,53.46666667,0,0.511249149,104.5804511,2,moderate,little,802
36,male,3,own,36,business,good,175.1111111,0,0.041392095,4230.544793,7,NA,NA,6304
38,female,3,own,24,radio/TV,good,63.875,0,0.025608627,2494.276617,7,NA,little,1533
45,male,4,own,14,car,bad,641.2857143,0,0.599587556,1069.544735,2,little,little,8978
25,male,3,own,24,radio/TV,good,41.625,0,0.047642875,873.6878267,7,NA,NA,999
32,male,3,own,18,car,good,147.8888889,1,0.207459307,712.857336,9,NA,NA,2662
37,female,3,rent,12,furniture/equipment,good,116.8333333,1,0.371138979,314.7967205,5,NA,quite rich,1402
36,male,4,free,48,car,good,253.5208333,0,0.3366737,753.0164468,2,moderate,NA,12169
28,male,3,own,48,radio/TV,bad,63.75,1,0.546402827,116.6721635,5,moderate,little,3060
34,male,2,own,30,repairs,bad,399.9333333,1,0.639626035,625.2611859,3,little,little,11998
32,male,3,own,9,radio/TV,good,299.6666667,0,0.057869368,5178.329654,6,NA,little,2697
26,female,3,own,18,radio/TV,good,133.5555556,0,0.042620143,3133.625263,7,NA,little,2404
49,male,2,own,12,furniture/equipment,good,105.1666667,1,0.210675053,499.1889896,1,little,NA,1262
32,female,3,own,6,furniture/equipment,bad,768.5,1,0.926189055,829.7442035,6,NA,little,4611
29,male,4,rent,24,radio/TV,good,79.20833333,0,0.194399665,407.4509763,4,NA,moderate,1901
23,male,3,rent,15,car,good,224.5333333,1,0.161045524,1394.222754,10,NA,rich,3368
50,male,3,own,12,furniture/equipment,good,131.1666667,1,0.20574644,637.5160943,6,NA,little,1574
49,male,2,own,18,radio/TV,good,80.27777778,1,0.207040099,387.7402401,3,rich,NA,1445
63,male,3,own,15,furniture/equipment,good,101.3333333,1,0.156153003,648.9361819,6,NA,NA,1520
37,male,3,own,24,car,good,161.5833333,1,0.176298661,916.5318243,8,moderate,moderate,3878
35,female,2,own,47,car,good,228.1276596,1,0.04378788,5209.83567,2,little,little,10722
26,male,3,own,48,car,good,99.75,0,0.051761148,1927.121078,6,little,little,4788
31,male,4,free,48,vacation/others,good,157.9583333,1,0.629058441,251.102796,2,moderate,moderate,7582
49,female,3,own,12,radio/TV,good,91,0,0.022951025,3964.964513,11,moderate,little,1092
48,male,3,own,24,radio/TV,bad,42.66666667,1,0.566944685,75.25719488,7,little,little,1024
26,male,3,own,12,business,good,89.66666667,1,0.26308214,340.8314475,6,NA,little,1076
28,male,4,rent,36,car,bad,261.0555556,1,0.473113278,551.7823481,2,moderate,little,9398
44,female,4,free,24,car,good,267.4583333,1,0.713040571,375.0955335,3,little,little,6419
56,male,3,free,42,car,good,114.1904762,0,0.488313847,233.846484,8,rich,little,4796
46,male,4,own,48,business,good,158.9375,1,0.173101673,918.1742549,2,NA,NA,7629
26,female,3,own,48,furniture/equipment,bad,207.5,1,0.758605962,273.5280375,8,moderate,little,9960
